Award Year,Organization Receiving Award,Use of Funds,Award Type,Amount,Type of Assistance
FY2021,Clackamas County,Emergency Business Assistance Grant Fund,Forgivable Loan,155000,Business Assistance
FY2021,Mid-Willamette Valley Council of Governments,Emergency Business Assistance Grant Fund,Forgivable Loan,684500,Business Assistance
FY2021,CCD Business Development Corporation,Emergency Business Assistance Grant Fund,Forgivable Loan,145000,Business Assistance
FY2021,City of Milwaukie,Emergency Business Assistance Grant Fund,Forgivable Loan,97000,Business Assistance
FY2021,Adelante Mujeres,COVID Small Business Response,Grant,123500,Business Assistance
FY2021,Blue Mountain Hospital District,COVID Financial Support,Grant,1592489,Hospitals
FY2021,Harney County Health District,COVID Financial Support,Grant,538814,Hospitals
FY2021,Curry Health District,COVID Financial Support,Grant,2501621,Hospitals
FY2021,"Samaritan Pacific Health Services, Inc.",COVID Financial Support,Grant,4635959,Hospitals
FY2021,Coquille Valley Hospital District,COVID Financial Support,Grant,962572,Hospitals
FY2021,Good Shepherd Health Care System,COVID Financial Support,Grant,6134753,Hospitals
FY2021,Mid-Columbia Medical Center,COVID Financial Support,Grant,591034,Hospitals
FY2021,"Mid-Valley Healthcare, Inc",COVID Financial Support,Grant,6594487,Hospitals
FY2021,Samaritan North Lincoln Hospital,COVID Financial Support,Grant,3453751,Hospitals
FY2021,Asante Ashland Community Hospital,COVID Financial Support,Grant,2386634,Hospitals
FY2021,Southern Coos Hospital & Health Center,COVID Financial Support,Grant,780905,Hospitals
FY2021,"St. Charles Health System, Inc. - Madras",COVID Financial Support - Madras,Grant,1866811,Hospitals
FY2021,"Saint Alphonsus Regional Medical Center, Inc. - Ontario",COVID Financial Support,Grant,1320000,Hospitals
FY2021,"St. Charles Health System, Inc. - Prineville",COVID Financial Support,Grant,2000100,Hospitals
FY2021,"St. Charles Health System, Inc. - Redmond",COVID Financial Support,Grant,4521591,Hospitals
FY2021,Santiam Memorial Hospital,COVID Financial Support,Grant,3496233,Hospitals
FY2021,"Love Yoga Studios, LLC / Hickory Station LLC",Commercial Rent Relief,Grant,30000,Commercial Rent Relief and Operational Assistance
FY2021,Bodhi Artisan Bakery llc. / Albany Investment Oregon 1 LLC,Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,The man cave men's salon /,Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,Ace Metalworks LLC / Lewis-Albany Properties LLC,Commercial Rent Relief,Grant,11000,Commercial Rent Relief and Operational Assistance
FY2021,206 1/2 Historic Hotel / HanSet Properties LLC,Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,B6 Albany LLC / GRHH Waverly Drive LLC,Commercial Rent Relief,Grant,100000,Commercial Rent Relief and Operational Assistance
FY2021,"3 M's Restaurants LLC / Q & H Properties, LLC",Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,"Pleu's TKD, Inc / Q & H Properties, LLC",Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,So Fly Hair Salon / Barna Properties,Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,Revolution Academy of Dance /,Commercial Rent Relief,Grant,16000,Commercial Rent Relief and Operational Assistance
FY2021,"Fitness Experience Albany, Inc. / Q & H Properties, LLC",Commercial Rent Relief,Grant,16000,Commercial Rent Relief and Operational Assistance
FY2021,NORTHWEST RAW JUICE LLC / GAL South Street LLC,Commercial Rent Relief,Grant,16000,Commercial Rent Relief and Operational Assistance
FY2021,"Cronies Vintage and Antique Emporium, LLC / Auric Investments LLC",Commercial Rent Relief,Grant,19000,Commercial Rent Relief and Operational Assistance
FY2021,casetta di pasta llc /,Commercial Rent Relief,Grant,29000,Commercial Rent Relief and Operational Assistance
FY2021,Taq Alonzo/Dos Arbolitos /,Commercial Rent Relief,Grant,22000,Commercial Rent Relief and Operational Assistance
FY2021,Crafted LLC /,Commercial Rent Relief,Grant,14000,Commercial Rent Relief and Operational Assistance
FY2021,Today's Next Experience /,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,Toki teriyaki /,Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,The Country Roost LLC / MODISH CORPORATION,Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,"Atira GST Inc. / G-ZONE, LLC",Commercial Rent Relief,Grant,68000,Commercial Rent Relief and Operational Assistance
FY2021,West One Automotive Group Inc. / AVR Properties LLC,Commercial Rent Relief,Grant,30000,Commercial Rent Relief and Operational Assistance
FY2021,"Rested Development, Inc / Clay Street Albany, LLC",Commercial Rent Relief,Grant,67000,Commercial Rent Relief and Operational Assistance
FY2021,Lucky Vivian LLC / GAL South Street LLC,Commercial Rent Relief,Grant,23000,Commercial Rent Relief and Operational Assistance
FY2021,EPICURE HOLDINGS LLC / CJ HOLDINGS LLC,Commercial Rent Relief,Grant,30000,Commercial Rent Relief and Operational Assistance
FY2021,Waverly dry cleaners / Bankers Development Corp,Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,golden town buffet / Bankers Development Corp,Commercial Rent Relief,Grant,44000,Commercial Rent Relief and Operational Assistance
FY2021,Jack n Jill Resale /,Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,North Albany Learning Center / GAL South Street LLC,Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,Empire Athletics LLC / Fescue Properties LLC,Commercial Rent Relief,Grant,34000,Commercial Rent Relief and Operational Assistance
FY2021,J&B Garden Center / LT Investments Three LLC,Commercial Rent Relief,Grant,62000,Commercial Rent Relief and Operational Assistance
FY2021,Baghdad gyros Llc / Kim PND LLC,Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,SUPER MERCADO LA GUELAGUETZA LLC / SUPER MERCADO LA GUELAGUETZA LLC,Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,Pacific Motors LLC / Park 219 South LLC,Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,beaverton auto wholesale llc / Park 219 South LLC,Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,"Beaverton Auto Wholesale, LLC / Park 219 South LLC",Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,"Dr Feelgoods, LLC / Hem street Developement",Commercial Rent Relief,Grant,30000,Commercial Rent Relief and Operational Assistance
FY2021,Monkey?s Subs Inc / Aloha Farmington Village LLC,Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,"Sakura Asian Fusion, Inc / Bales Farmington, LLC",Commercial Rent Relief,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,"Clean Earth Cleaners LLC / Bales Farmington, LLC",Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,"A+ Academy / Bales Farmington, LLC",Commercial Rent Relief,Grant,500,Commercial Rent Relief and Operational Assistance
FY2021,"TATCO LLC / Bales Farmington, LLC",Commercial Rent Relief,Grant,32000,Commercial Rent Relief and Operational Assistance
FY2021,Calliope Vineyard LLC / 418 Trade Street Holding LLC,Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,Devijuice Inc dba Outback in the Temple of Venus / Landem Investments,Commercial Rent Relief,Grant,25000,Commercial Rent Relief and Operational Assistance
FY2021,Looking Glass Boutique / 283-303 East Main Street LLC,Commercial Rent Relief,Grant,13000,Commercial Rent Relief and Operational Assistance
FY2021,"The Shoe Studio, LLC dba Middle Earth Shoes / 283-303 East Main Street LLC",Commercial Rent Relief,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Sushi Heaven / 283-303 East Main Street LLC.,Commercial Rent Relief,Grant,12000,Commercial Rent Relief and Operational Assistance
FY2021,Redzone sports Bar N Grill / 283-303 East Main Street LLC.,Commercial Rent Relief,Grant,16000,Commercial Rent Relief and Operational Assistance
FY2021,OCAT Inc / LMH Properties,Commercial Rent Relief,Grant,19000,Commercial Rent Relief and Operational Assistance
FY2021,SLS Enterprises LLC / Meister's Buy-Rite Inc,Commercial Rent Relief,Grant,32000,Commercial Rent Relief and Operational Assistance
FY2021,"Ling Dao Tea LLC, DBA Dobrá Tea / LMH Properties",Commercial Rent Relief,Grant,15000,Commercial Rent Relief and Operational Assistance
FY2021,Harto Quality Foods Inc. / LMH Properties,Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,Jacksonville Mercantile dba The Culinarium /,Commercial Rent Relief,Grant,12000,Commercial Rent Relief and Operational Assistance
FY2021,Ritual Evolution LLC / LMH Properties,Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,Restaurant Republic / Meister's Buy-Rite Inc,Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,Kobe / LMH Properties,Commercial Rent Relief,Grant,31000,Commercial Rent Relief and Operational Assistance
FY2021,PDH Inc / LMH Properties,Commercial Rent Relief,Grant,26000,Commercial Rent Relief and Operational Assistance
FY2021,The Crown Jewel / Elizabeth Sheila Burns,Commercial Rent Relief,Grant,11000,Commercial Rent Relief and Operational Assistance
FY2021,Weldons ent. inc. / Meister's Buy-Rite Inc,Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,Round About LLC dba Hearsay / Ashland Historic Properties,Commercial Rent Relief,Grant,12000,Commercial Rent Relief and Operational Assistance
FY2021,Music Coop /,Commercial Rent Relief,Grant,11000,Commercial Rent Relief and Operational Assistance
FY2021,Oasis Nail and Spa / Meister's Buy-Rite Inc,Commercial Rent Relief,Grant,9000,Commercial Rent Relief and Operational Assistance
FY2021,Clementine Rose Inc. / LMH Properties,Commercial Rent Relief,Grant,9000,Commercial Rent Relief and Operational Assistance
FY2021,"Wilton West LLC / A Street Arts Building, L.L.C.",Commercial Rent Relief,Grant,23000,Commercial Rent Relief and Operational Assistance
FY2021,Lovejoy's Tea Room of Ashland / LMH Properties,Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,Texagon LLC / Schrodt Investments,Commercial Rent Relief,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,"ST International LLC / CPM Real Estate Services, Inc",Commercial Rent Relief,Grant,23000,Commercial Rent Relief and Operational Assistance
FY2021,SLK Provisions DBA Kixx / Juli F. Teitelbaum Trust,Commercial Rent Relief,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Travel Essentials Inc. / Juli F. Teitelbaum Trust,Commercial Rent Relief,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Billy's Fried Chicken / LMH Properties,Commercial Rent Relief,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Pepper Inc / LMH Properties,Commercial Rent Relief,Grant,22000,Commercial Rent Relief and Operational Assistance
FY2021,Dosanjh Holding LLC / LMH Properties,Commercial Rent Relief,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,The Blue Giraffe Spa and Salon / LMH Properties,Commercial Rent Relief,Grant,38000,Commercial Rent Relief and Operational Assistance
FY2021,"Beasy Bob Inc., DBA Beasy's On The Creek / LMH Properties",Commercial Rent Relief,Grant,22000,Commercial Rent Relief and Operational Assistance
FY2021,Billy Oliver Inc / LMH Properties,Commercial Rent Relief,Grant,22000,Commercial Rent Relief and Operational Assistance
FY2021,Columbia hotel / Juli F. Teitelbaum Trust,Commercial Rent Relief,Grant,32000,Commercial Rent Relief and Operational Assistance
FY2021,Ashland Property Management LLC / LMH Properties,Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,PRIZE / Juli F. Teitelbaum Trust,Commercial Rent Relief,Grant,14000,Commercial Rent Relief and Operational Assistance
FY2021,PNW Local Delights / Food Tank: Commercial Kitchen,Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,North & East LLC / Juli F. Teitelbaum Trust,Commercial Rent Relief,Grant,13000,Commercial Rent Relief and Operational Assistance
FY2021,Ashco Inc / Pegasus Enterprises,Commercial Rent Relief,Grant,35000,Commercial Rent Relief and Operational Assistance
FY2021,"Winchester Inn LLC / RedTail Inn, LLC",Commercial Rent Relief,Grant,18000,Commercial Rent Relief and Operational Assistance
FY2021,Art & Soul Gallery LLC / Ashland Elks Lodge,Commercial Rent Relief,Grant,13000,Commercial Rent Relief and Operational Assistance
FY2021,"Gold Craft West, Inc. / RHANSEN Plaza Condo LLC",Commercial Rent Relief,Grant,60000,Commercial Rent Relief and Operational Assistance
FY2021,Pie + Vine /,Commercial Rent Relief,Grant,17000,Commercial Rent Relief and Operational Assistance
FY2021,"Deja Vu Fashion Consignment Shoppe, LLC / Ashland Shopping Center LLC",Commercial Rent Relief,Grant,16000,Commercial Rent Relief and Operational Assistance
FY2021,Sauce Wholefood Cafe / Ashland Shopping Center LLC,Commercial Rent Relief,Grant,27000,Commercial Rent Relief and Operational Assistance
